                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4152,                 2.6616,                 1.5172,                0.41699,                0.40652,                0.38076,                0.17657,                 1.8385,                 2.5033,                 1.7694,             0.00023691,             0.00023691,             0.00023691
                      2,                 1.3596,                  1.869,                 1.4652,                0.57871,                0.46847,                0.48432,                0.21384,                 1.9141,                 2.1232,                 1.8678,             0.00042789,             0.00042789,             0.00042789
                      3,                  1.323,                 1.7152,                 1.4384,                0.64518,                0.45136,                0.50523,                0.22179,                 1.8918,                 2.0942,                 1.8598,             0.00057175,             0.00057175,             0.00057175
                      4,                 1.2913,                 1.5885,                 1.4097,                0.69838,                0.49329,                0.56799,                0.28177,                  1.785,                 1.7777,                 1.7251,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.2703,                 1.5049,                 1.3944,                0.66189,                0.54368,                0.56692,                0.26508,                 1.7983,                 1.7684,                 1.7274,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.2311,                 1.4164,                   1.36,                0.76744,                0.53546,                0.59599,                 0.2891,                 1.8054,                 1.6842,                 1.7641,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.1924,                 1.3109,                 1.3326,                0.76059,                0.56052,                0.63278,                0.32949,                 1.6905,                 1.5189,                 1.6406,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.1738,                 1.2462,                 1.3129,                 0.7722,                0.60186,                0.66312,                0.33266,                 1.7495,                 1.4433,                 1.6574,             0.00028988,             0.00028988,             0.00028988
                      9,                  1.138,                 1.1868,                 1.2828,                0.77934,                0.59876,                0.66318,                0.33901,                 1.7261,                 1.4026,                 1.6905,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.1064,                 1.1224,                 1.2636,                0.80286,                0.62087,                0.68863,                0.34481,                 1.7474,                 1.3222,                 1.6792,             0.00014851,             0.00014851,             0.00014851
